Site Name,URL,Wikipedia URL,Coordinates,Latitude,Longitude,established_Date,established_Year,nearest_City,visitors,openingDates,openingTime?,type,activities,image,image_credit,facebook_account,instagram_account,twitter_account,admission ,extra visitor information 
Taos Ski Valley,https://www.skitaos.com/,"https://en.wikipedia.org/wiki/Taos_Ski_Valley,_New_Mexico","36.597778, -105.445",36.597778,-105.445,N/A,1954,"Taos, NM",,Apr- Nov,9 AM - 4 PM,Recreation,,TaosSkiValley.jpg,https://www.skitaos.com/,https://www.facebook.com/taosskivalley,https://www.instagram.com/skitaos/,,,
Eldora Craft Chocolate,https://eldorachocolate.com/,https://en.wikipedia.org/wiki/List_of_bean-to-bar_chocolate_manufacturers,"35.17404959186167, -106.6135798311175",35.17404959,-106.6135798,"June, 2018",2018,"Albuquerque, NM",,Mon - Sat,11 AM - 6 PM,Restaurant,,EldoraCraftChocolate.jpg,https://www.visitalbuquerque.org/listing/eldora-chocolate/9627/,https://www.facebook.com/eldorachocolate/,https://www.instagram.com/eldorachocolatenm/,https://twitter.com/eldorachoco,,
House of Eternal Return,https://meowwolf.com/about,https://en.wikipedia.org/wiki/Meow_Wolf,"35.654722, -105.996667",35.654722,-105.996667,"Feb, 2008",2008,"Santa Fe, NM",,Year round,10 AM - 8 PM,Museum,,HouseofEternalReturn.jpg,https://meowwolf.com/visit/santa-fe,https://www.facebook.com/meowwolf.sf,https://www.instagram.com/meow__wolf/,https://twitter.com/meowwolf,$36-42,https://tickets.meowwolf.com/santa-fe/
New Mexico Museum of Art,https://www.nmartmuseum.org/,https://en.wikipedia.org/wiki/New_Mexico_Museum_of_Art,"35.6881, -105.9392",35.6881,-105.9392,N/A,1917,"Santa Fe, NM",,Tues - Sun,10 AM - 5 PM ,Museum,,NewMexicoMuseumofArt.jpg,https://www.lonelyplanet.com/usa/santa-fe/attractions/new-mexico-museum-of-art/a/poi-sig/414046/362156,https://www.facebook.com/NewMexicoMuseumArt/,https://www.instagram.com/newmexicoartmuseum/,,General admission: $12. New Mexico residents with ID: $7.,https://www.nmartmuseum.org/visit/
ABQ BioPark Botanic Garden,https://www.cabq.gov/artsculture/biopark/garden,https://en.wikipedia.org/wiki/ABQ_BioPark_Botanic_Garden,"35.0933, -106.6813",35.0933,-106.6813,,1996,"Albuquerque, NM",,Year round,9 AM - 4 PM,Garden,,ABQBioParkBotanicGarden.jpg,https://newmexicoarchitecturalfoundation.org/2019/08/19/biopark-conservatory/,https://www.facebook.com/abqbiopark/,https://www.instagram.com/abqbiopark/,https://twitter.com/abqbiopark,,
Wildlife West Nature Park,https://wildlifewest.org/wwblog/,https://en.wikipedia.org/wiki/Wildlife_West_Nature_Park,"35.0739, -106.2036",35.0739,-106.2036,N/A,1992,"Edgewood, NM",,Year round,10 AM - 6 PM,Wilderness Area,,WildlifeWestNaturePark.jpg,https://wildlifewest.org/wwblog/rent-the-park/,https://www.facebook.com/WildlifeWest,https://www.instagram.com/explore/locations/19108610/,https://twitter.com/wildlifewest,,
Guadalupe Backcountry Scenic Byway,https://www.blm.gov/visit/guadalupe-backcountry-byway,https://en.wikipedia.org/wiki/Guadalupe_Back_Country_Byway,"32.514091501437, -104.38293420050181",32.5140915,-104.3829342,"Sept. 26, 1994",1994,"Carlsbad, NM",,Year round,Open 24 hours a day ,Trail,,GuadalupeBackcountryScenicByway.jpg,https://www.newmexico.org/places-to-visit/scenic-byways/the-guadalupe-back-country/,https://www.facebook.com/BLMNational,https://www.instagram.com/mypubliclands/,https://twitter.com/BLMNational,,
Origami in the Garden,https://origamiinthegarden.com/visit/,N/A,"35.44538146195548, -106.07828723295962",35.44538146,-106.0782872,N/A,2014,"Los Cerrillos, NM",,July 10th - Oct 13th,Week days ,Garden,,OrigamiintheGarden.jpg,https://www.atlasobscura.com/places/origami-in-the-garden,https://www.facebook.com/OrigamiintheGarden/,https://www.instagram.com/origamiinthegarden/,,,
Bisti Badlands,https://www.blm.gov/visit/bisti-de-na-zin-wilderness,https://en.wikipedia.org/wiki/Bisti/De-Na-Zin_Wilderness,"36.304444, -108.118056",36.304444,-108.118056,N/A,1984,"Bloomfield, NM",,Year round,Open 24 hours a day ,Wilderness Area,,BistiBadlands.jpg,https://actionphototours.com/workshops/bisti-badlands-photo-workshop-fall/,https://www.facebook.com/BLMNational,https://www.instagram.com/mypubliclands/,https://twitter.com/BLMNational,,
Ojo Caliente Mineral Springs Resort and Spa,https://ojosparesorts.com/,https://en.wikipedia.org/wiki/Ojo_Caliente_Hot_Springs,"36.310278, -106.046667",36.310278,-106.046667,N/A,1868,"Ojo Caliente, NM",,Year round,7:30 AM - 9:30 PM,Spa,,OjoCalienteMineralSpringsResortandSpa.jpg,https://travelsquire.com/spa-ojo-caliente/,https://www.facebook.com/ojosantaferesort,https://www.instagram.com/ojosantaferesort/,https://twitter.com/OjoSantaFe,,
Museum of International Art (Girard Wing),https://www.internationalfolkart.org/about/our-history/girardwing.html,https://en.wikipedia.org/wiki/Museum_of_International_Folk_Art,"35.66406, -105.92618",35.66406,-105.92618,N/A,1982,"Santa Fe, NM",,Tues - Sun,10 AM - 5 PM,Museum,,MuseumofInternationalArt.jpg,https://www.newmexicoculture.org/museums/museum-of-international-folk-art,https://www.facebook.com/InternationalFolkArt,https://www.instagram.com/museumofinternationalfolkart/,,,
Kasha-Katuwe Tent Rocks National Monument,https://www.blm.gov/visit/kktr,https://en.wikipedia.org/wiki/Kasha-Katuwe_Tent_Rocks_National_Monument,"35.660278, -106.408333",35.660278,-106.408333,"Jul. 17, 2001",2001,"Cochiti Pueblo, NM",,Currently Closed,Currently Closed,National Monument,,Kasha-KatuweTentRocksNationalMonument.jpg,https://newmexiconomad.com/kasha-katuwe-tent-rocks/,https://www.facebook.com/BLMNational,https://www.instagram.com/mypubliclands/,https://twitter.com/BLMNational,,
Petroglyph National Monument,https://www.nps.gov/petr/index.htm,https://en.wikipedia.org/wiki/Petroglyph_National_Monument,"35.135833, -106.761944",35.135833,-106.761944,"Jun. 27, 1990",1990,"Albuquerque, NM",,Year round,8:30 AM - 4:30 PM,National Monument,,PetroglyphNationalMonument.jpg,https://wnpa.org/discover_parks/petroglyph/,https://www.facebook.com/petroglyphNPS/,https://www.instagram.com/PetroglyphNPS/,https://twitter.com/PetroglyphNPS,,
Karl G. Jansky Very Large Array,https://public.nrao.edu/visit/very-large-array/,https://en.wikipedia.org/wiki/Very_Large_Array,"34.078749, -107.617728",34.078749,-107.617728,N/A,1980,"Socorro, NM",,Thurs- Sunday,9 AM - 4 PM,Observatory,,KarlGJanskyVeryLargeArray.jpg,https://public.nrao.edu/gallery/a-cloudy-twilight-at-the-vla/,https://www.facebook.com/TheNRAO,https://www.instagram.com/national.radio.astronomy/,https://twitter.com/TheNRAO,,
Continental Divide National Scenic Trail,https://continentaldividetrail.org/,https://en.wikipedia.org/wiki/Continental_Divide_Trail,"31.496918, -108.208885",31.496918,-108.208885,N/A,1978,NM,,Year round,Open 24 hours a day ,Trail,,ContinentalDivideNationalScenicTrail.jpg,https://newmexiconomad.com/continental-divide-trail/,https://www.facebook.com/ContinentalDivideTrailCoalition,https://www.instagram.com/cdtcoalition/,https://twitter.com/CDNST1,,
Billy the Kid Museum,https://billythekidmuseumfortsumner.com/index.html,https://en.wikipedia.org/wiki/Billy_the_Kid,"34.4664804, -104.2292999",34.4664804,-104.2292999,"Jan. 1, 1953",1953,"Fort Sumner, NM",,Mon - Sat,8:30 AM - 5 PM,Museum,,BillytheKidMuseum.jpg,https://www.yelp.com/biz/billy-the-kid-museum-fort-sumner,https://www.facebook.com/people/Billy-The-Kid-Museum/100063661208015/,N/A,N/A,,
Cathedral Basilica of St. Francis of Assisi,https://www.cbsfa.org/,https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._Francis_of_Assisi_(Santa_Fe),"35.6865, -105.9363",35.6865,-105.9363,N/A,1886,"Santa Fe, NM",,Tues - Sun,Tues - Friday 9:30 AM - 4 PM Sat 9:30 AM - 5 PM Sun 8 AM - 12 PM,Historical Site,,CathedralBasilicaofStFrancisofAssisi.jpg,https://www.nps.gov/places/la-parroquia-site-cathedral-basilica-of-st-francis-of-assisi.htm,https://www.facebook.com/CathedralBasilicaOfStFrancisOfAssisi/,N/A,N/A,,
Red River Ski and Summer Area,https://www.redriverskiarea.com/,"https://en.wikipedia.org/wiki/Red_River,_New_Mexico","36.7062, -105.4129",36.7062,-105.4129,N/A,1895,"Red River, NM",,Year round,9 AM - 4 PM,Recreation,,RedRiverSkiandSummerArea.jpg,https://wanderjobs.com/redriverskiandsummerarea/,https://www.facebook.com/redriverskiarea/,https://www.instagram.com/redriverskiarea/,https://twitter.com/RedRiverSkiArea,,
Cafe Pasqual's,https://pasquals.com/,https://commons.wikimedia.org/wiki/File:Cafe_Pasqual%27s_(12492802175).jpg,"35.686581887260374, -105.93967514658071",35.68658189,-105.9396751,"Feb. 7, 2014",2014,"Santa Fe, NM",,Year round,Breakfast 8 AM - 3 PM Dinner 5:30 PM - 9:30 PM,Restaurant,,CafePasquals.jpg,https://pasquals.com/hours/,https://www.facebook.com/cafepasquals/,https://www.instagram.com/cafe_Pasquals/,,,
Wheeler Peak,https://www.fs.usda.gov/recarea/carson/recreation/hiking/recarea/?recid=75370&actid=50,https://en.wikipedia.org/wiki/Wheeler_Peak_(New_Mexico),"36.556855, -105.416947",36.556855,-105.416947,N/A,1950,"Taos County, NM",,Year round,Open 24 hours a day ,National Park,,WheelerPeak.jpg,https://www.nps.gov/grba/planyourvisit/wheeler-peak-in-winter.htm,https://www.facebook.com/CarsonNF,N/A,https://twitter.com/CarsonNF,,
Four Corners Monument,https://navajonationparks.org/tribal-parks/four-corners-monument/,https://en.wikipedia.org/wiki/Four_Corners_Monument,"36.998979, -109.045186",36.998979,-109.045186,N/A,1931,"Farmington, NM",,Year round,8 AM - 5:45 PM,National Monument,,FourCornersMonument.jpg,https://www.worldatlas.com/geography/four-corners-united-states.html,https://www.facebook.com/people/Navajo-Parks-Recreation/100048666705436/,N/A,N/A,,
Cliff’s Amusement Park,https://www.cliffsamusementpark.com/,https://en.wikipedia.org/wiki/Cliff%27s_Amusement_Park,"35.14494, -106.58938",35.14494,-106.58938,N/A,1959,"Albuquerque, NM",,May 6th - Sept 4th ,11 AM - 6 PM,Amusement Park,,CliffsAmusementPark.jpg,https://www.cliffsamusementpark.com/buy-passes/,https://www.facebook.com/CliffsAmusementParkNM,https://www.instagram.com/cliffsamusementpark/,N/A,,
Ghost Ranch,https://www.ghostranch.org/,https://en.wikipedia.org/wiki/Ghost_Ranch,"36.329789, -106.474",36.329789,-106.474,N/A,1975,"Abiquiu, NM",,Year round,9 AM - 4 PM,Recreation,,GhostRanch.jpg,https://www.atlasobscura.com/places/ghost-ranch,https://www.facebook.com/GhostRanch,https://www.instagram.com/ghostranchorg/,https://twitter.com/ghostranchorg,,
Taos Pueblo,https://taospueblo.com/,https://en.wikipedia.org/wiki/Taos_Pueblo,"36.43917, -105.54559",36.43917,-105.54559,N/A,1325 AD,"Taos, NM",,Tues - Fri,10 AM - 5 PM,Historical Site,,TaosPueblo.jpg,https://www.taospueblo.org/,https://www.facebook.com/Overa1000YearsofTradition/,https://www.instagram.com/taospueblo/,https://twitter.com/TaosPueblo,,
New Mexico State Capitol,https://www.nmlegis.gov/visitors,https://en.wikipedia.org/wiki/New_Mexico_State_Capitol,"35.6823, -105.9397",35.6823,-105.9397,"Dec. 8, 1966",1966,"Santa Fe, NM",,Mon - Fri,7:30 AM - 5:30 PM,Government,,NewMexicoStateCapitol.jpg,https://www.sos.nm.gov/about-new-mexico/state-capitol/,https://www.facebook.com/people/New-Mexico-Legislature/100060329353510/,N/A,https://twitter.com/NMLegislature,,
Western Playland,https://www.westernplayland.com/,https://en.wikipedia.org/wiki/Western_Playland,"31.803043, -106.559878",31.803043,-106.559878,N/A,1960,"Sunland Park, NM",,Fri - Sun,Fri 6 PM - 10 PM Sat 2 PM - 9 PM Sun 3 PM-8 PM,Amusement Park,,WesternPlayland.jpg,https://www.ktsm.com/local/western-playland-preparing-for-opening-day-under-new-ownership/,https://www.facebook.com/WesternPlayland/,https://www.instagram.com/westernplayland/,N/A,,
Living Desert State Park,https://livingdesertnm.org/,https://en.wikipedia.org/wiki/Living_Desert_Zoo_and_Gardens_State_Park,"32.441667, -104.2775",32.441667,-104.2775,N/A,1967,"Carlsbad, NM",,Year round,9 AM - 5 PM,State Park,,LivingDesertStatePark.jpg,https://livingdesertnm.org/,https://www.facebook.com/friendsoflivingdesert/,https://www.instagram.com/thelivingdesert/,https://twitter.com/livingdesert,,
Tiwa Kitchen,https://www.tiwakitchen.com/index.html,N/A,"36.43495387438887, -105.55383346489344",36.43495387,-105.5538335,,1993,"Taos, NM",,Mon - Thur,7 AM - 2 PM,Restaurant,,TiwaKitchen.jpg,https://www.tripadvisor.com/LocationPhotoDirectLink-g47224-d5769165-i292190911-Tiwa_Kitchen_Restaurant-Taos_Taos_County_New_Mexico.html,https://www.facebook.com/people/Tiwa-Kitchen-Restaurant/100054995331773/,N/A,N/A,,
Fiestas de Santa Fe,https://www.santafefiesta.org/,https://en.wikipedia.org/wiki/Fiestas_de_Santa_Fe,"35.68743, -105.93852",35.68743,-105.93852,"Sept.16, 1712",1712,"Santa Fe, NM",,Sept 1st - 9th,9 AM - 5 PM ,Event,,FiestasdeSantaFe.jpg,https://www.allseasonsresortlodging.com/santa-fe/events/fiesta-de-santa-fe/,https://www.facebook.com/Santafefiesta/,https://www.instagram.com/santafefiesta/,https://twitter.com/santafefiesta,,
Blue Hole,https://www.santarosabluehole.com/,https://en.wikipedia.org/wiki/Blue_hole,"35.29850616878465, -104.65206737522969",35.29850617,-104.6520674,N/A,1932,"Santa Rosa, NM",,Year round,7 AM - 7 PM,Recreation,,BlueHole.jpg,https://www.santarosabluehole.com/,https://www.facebook.com/santarosabluehole,N/A,N/A,,
Chaco Culture National Historical Park,https://www.nps.gov/chcu/index.htm,https://en.wikipedia.org/wiki/Chaco_Culture_National_Historical_Park,"36.06, -107.96",36.06,-107.96,"Mar. 11, 1907",1907,"Nageezi, NM",,Year round ,7 AM - 5 PM,National Park,,ChacoCultureNationalHistoricalPark.jpg,https://www.nationalparksatnight.com/chaco-culture-2018,https://www.facebook.com/nps.chcu,https://www.instagram.com/chaco_culture_nhp/?hl=en,https://twitter.com/chacoculturenhp,,
